dataset,dataset_index,score_final,melhor_score_semeado,diferenca
M4_WEEKLY_DATASET,49,0.434684,0.4747,-0.040015999999999996
M4_WEEKLY_DATASET,50,0.083372,0.1074,-0.024027999999999994
M4_WEEKLY_DATASET,51,0.27727,0.2811,-0.00383
M4_WEEKLY_DATASET,52,0.541687,0.5417,-1.2999999999929734e-05
M4_WEEKLY_DATASET,53,-0.08275,-0.0724,-0.010349999999999998
M4_WEEKLY_DATASET,54,0.283715,0.4566,-0.172885
M4_WEEKLY_DATASET,55,0.476772,0.4768,-2.8000000000028002e-05
M4_WEEKLY_DATASET,56,0.439584,0.4613,-0.021716000000000013
M4_WEEKLY_DATASET,57,0.646603,0.6466,3.000000000086267e-06
M4_WEEKLY_DATASET,58,0.626402,0.6495,-0.023097999999999952
M4_WEEKLY_DATASET,59,0.14867,0.1513,-0.0026299999999999935
M4_WEEKLY_DATASET,60,0.121257,0.1213,-4.300000000000137e-05
M4_WEEKLY_DATASET,61,0.096703,0.1023,-0.005597000000000005
M4_WEEKLY_DATASET,62,0.112398,0.1124,-2.000000000002e-06
M4_WEEKLY_DATASET,63,-0.077692,-0.0777,8.000000000008e-06
M4_WEEKLY_DATASET,64,-0.10384,-0.1021,-0.0017400000000000054
M4_WEEKLY_DATASET,65,-0.144773,-0.1448,2.6999999999999247e-05
M4_WEEKLY_DATASET,66,0.045242,0.0465,-0.0012580000000000022
M4_WEEKLY_DATASET,67,-0.030303,-0.0303,-2.999999999999531e-06
M4_WEEKLY_DATASET,68,-0.014245,-0.0142,-4.49999999999999e-05
M4_WEEKLY_DATASET,69,-0.060941,-0.0609,-4.099999999999937e-05
M4_WEEKLY_DATASET,70,0.141536,0.1651,-0.023564
M4_WEEKLY_DATASET,71,0.140714,0.1465,-0.005785999999999986
M4_WEEKLY_DATASET,72,0.158457,0.1699,-0.011443000000000009
M4_WEEKLY_DATASET,73,0.581346,0.6833,-0.10195399999999999
M4_WEEKLY_DATASET,74,0.059715,0.0878,-0.028085000000000006
M4_WEEKLY_DATASET,75,0.097709,0.0983,-0.0005909999999999943
M4_WEEKLY_DATASET,76,-0.060297,-0.0603,2.9999999999960614e-06
M4_WEEKLY_DATASET,77,0.382006,0.382,6.0000000000060005e-06
M4_WEEKLY_DATASET,78,0.7,0.7,0.0
M4_WEEKLY_DATASET,79,0.7,0.7,0.0
M4_WEEKLY_DATASET,80,0.152855,0.1529,-4.500000000001725e-05
M4_WEEKLY_DATASET,81,-0.139379,-0.1394,2.0999999999993246e-05
M4_WEEKLY_DATASET,82,0.39567,0.3957,-2.999999999997449e-05
M4_WEEKLY_DATASET,83,0.351505,0.3769,-0.025395
M4_WEEKLY_DATASET,84,-0.016073,-0.0043,-0.011773
M4_WEEKLY_DATASET,85,-0.048449,-0.0411,-0.007349000000000001
M4_WEEKLY_DATASET,86,-0.070605,-0.0502,-0.020405
M4_WEEKLY_DATASET,87,-0.062207,-0.0423,-0.019907
M4_WEEKLY_DATASET,88,-0.009631,-0.003,-0.006631000000000001
M4_WEEKLY_DATASET,89,0.051219,0.0739,-0.022680999999999993
M4_WEEKLY_DATASET,90,0.038685,0.0406,-0.001915
M4_WEEKLY_DATASET,91,-0.059576,-0.0568,-0.0027759999999999938
M4_WEEKLY_DATASET,92,0.369106,0.4689,-0.099794
M4_WEEKLY_DATASET,93,0.279362,0.2796,-0.00023800000000001598
