serie,CREST,CREST sem agente
NN5_WEEKLY_DATASET_105,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_106,0.0,0.0
NN5_WEEKLY_DATASET_107,42.85714285714285,42.85714285714285
NN5_WEEKLY_DATASET_108,57.142857142857146,57.142857142857146
NN5_WEEKLY_DATASET_109,28.571428571428573,28.571428571428573
NN5_WEEKLY_DATASET_110,28.571428571428573,28.571428571428573
M4_WEEKLY_DATASET_0,25.0,25.0
M4_WEEKLY_DATASET_1,66.66666666666667,58.333333333333336
M4_WEEKLY_DATASET_2,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_3,58.333333333333336,83.33333333333333
M4_WEEKLY_DATASET_4,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_5,41.66666666666666,33.333333333333336
M4_WEEKLY_DATASET_6,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_7,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_8,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_9,8.333333333333334,8.333333333333334
M4_WEEKLY_DATASET_10,75.0,83.33333333333333
M4_WEEKLY_DATASET_11,33.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_12,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_13,75.0,75.0
M4_WEEKLY_DATASET_14,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_15,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_16,50.0,50.0
M4_WEEKLY_DATASET_17,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_18,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_19,66.66666666666667,75.0
M4_WEEKLY_DATASET_20,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_21,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_22,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_23,75.0,75.0
M4_WEEKLY_DATASET_24,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_25,50.0,50.0
M4_WEEKLY_DATASET_26,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_27,50.0,50.0
M4_WEEKLY_DATASET_28,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_29,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_30,58.333333333333336,58.333333333333336
